Name,Price,Year,Engine,Distance,City
LADA (VAZ) 2104,8 800 AZN,2011,1.6 L,73 470 km,Şirvan
Chevrolet Cruze,11 900 AZN,2012,1.4 L,242 349 km,Bakı
Kia Soul,21 900 AZN,2015,1.6 L,100 000 km,Bakı
BMW 330,23 900 $,2017,2.0 L,80 000 km,Bakı
Mazda 3,10 000 AZN,2008,2.0 L,275 468 km,Bakı
Chevrolet Cruze,15 900 AZN,2014,1.4 L,265 542 km,Bakı
BMW 528,27 000 AZN,2012,2.0 L,279 600 km,Bakı
Mercedes C 300,27 700 $,2018,2.0 L,98 000 km,Bakı
Hyundai Santa Fe,22 000 AZN,2010,2.4 L,185 450 km,Bakı
Hyundai Elantra,20 500 AZN,2014,1.8 L,125 000 km,Bakı
Lexus LX 570,49 000 $,2013,5.7 L,85 000 km,Bakı
BMW X5,67 900 $,2021,3.0 L,37 000 km,Bakı
Ford Transit,38 900 AZN,2011,2.4 L,152 000 km,Bakı
GAZ 53,3 000 AZN,2003,4.2 L,53 000 km,Bakı
Mercedes GL 350 4MATIC,45 000 $,2015,3.0 L,149 421 km,Bakı
Kia Optima,26 600 AZN,2015,2.0 L,90 000 km,Bakı
Chevrolet Malibu,22 700 AZN,2018,1.5 L,61 000 km,Bakı
Hyundai Elantra,21 900 AZN,2014,1.8 L,130 357 km,Bakı
Kia Sorento,39 900 AZN,2018,2.0 L,142 246 km,Bakı
Land Rover Discovery,23 800 AZN,2007,4.4 L,155 325 km,Sumqayıt
Mercedes Sprinter 515,36 000 AZN,2008,2.2 L,260 000 km,Bakı
Land Rover RR Sport,26 700 AZN,2007,4.2 L,14 185 km,Sumqayıt
Toyota Land Cruiser,38 500 $,2013,4.0 L,179 000 km,Bakı
UAZ Profi,42 500 AZN,2023,2.7 L,0 km,Bakı
Renault Megane,9 200 AZN,2008,1.5 L,305 000 km,Bakı
Haima 8S,46 200 AZN,2022,1.6 L,0 km,Bakı
Opel Corsa,29 900 AZN,2023,1.2 L,0 km,Bakı
Hongqi H5,32 300 $,2023,1.5 L,0 km,Bakı
BMW X7,129 999 $,2023,3.0 L,3 500 km,Bakı
Kia Sorento,47 400 AZN,2019,2.0 L,118 000 km,Bakı
Toyota Prius,11 950 AZN,2008,1.5 L,280 000 km,Bakı
Hyundai Santa Fe,32 800 AZN,2014,2.0 L,167 330 km,Bakı
BMW 525,13 500 AZN,2002,2.5 L,356 000 km,Xırdalan
Opel Astra,11 000 AZN,2006,1.4 L,253 800 km,Bakı
Ford Edge,32 900 AZN,2016,2.0 L,110 000 km,Bakı
BMW 428,32 500 AZN,2015,2.0 L,161 000 km,Bakı
Mercedes C 250,27 900 AZN,2014,1.8 L,78 113 km,Bakı
Kia Optima,25 500 AZN,2014,2.0 L,132 000 km,Bakı
BMW X5,38 900 $,2017,3.0 L,65 500 km,Bakı
Jeep Grand Cherokee,34 900 $,2020,3.0 L,101 000 km,Bakı
Vespa VXL 150,4 399 AZN,2022,0.2 L,0 km,Bakı
Vespa SXL 150,4 399 AZN,2022,0.2 L,0 km,Bakı
Vespa GTS 300,19 999 AZN,2023,0.3 L,0 km,Bakı
Mercedes E 230,11 800 AZN,1997,2.3 L,400 368 km,Ağstafa
Mazda CX-5,31 000 $,2023,2.0 L,32 000 km,Bakı
Toyota Land Cruiser,28 900 $,2008,4.7 L,240 000 km,Bakı
Mercedes S 350,21 900 $,2010,3.5 L,170 000 km,Bakı
Toyota Corolla Cross,22 600 $,2024,2.0 L,0 km,Bakı
Daewoo Damas,2 800 AZN,1996,0.8 L,187 000 km,Bakı
Lexus ES 300h,51 500 $,2023,2.5 L,0 km,Bakı
Mercedes E 300,30 600 $,2017,2.0 L,150 000 km,Bakı
Hyundai Tucson,22 750 AZN,2014,2.0 L,101 000 km,Gəncə
Toyota Land Cruiser Prado,23 800 $,2013,2.7 L,292 900 km,Bakı
Kia Sorento,32 900 AZN,2015,2.0 L,110 000 km,Bakı
BMW 530,27 000 $,2017,2.0 L,115 000 km,Bakı
BMW 528,19 800 $,2016,2.0 L,117 000 km,Xaçmaz
Hyundai Elantra,20 800 AZN,2013,1.8 L,178 700 km,Bakı
Nissan Juke,25 500 AZN,2016,1.6 L,110 000 km,Bakı
Scania R420,58 500 AZN,2012,11 L,1 210 713 km,Lənkəran
BMW 530,50 500 $,2021,2.0 L,8 000 km,Bakı
BMW X7,96 000 $,2022,3.0 L,21 000 km,Bakı
ZEEKR 007,37 500 $,2024,0.0 L,0 km,Bakı
Toyota Land Cruiser,31 000 $,2008,4.7 L,176 000 km,Bakı
Mitsubishi L200,27 500 $,2021,2.4 L,0 km,Bakı
Jaguar F-Type,39 777 $,2018,2.0 L,21 800 km,Bakı
Honda Accord,25 800 AZN,2015,2.0 L,180 000 km,Bakı
Land Rover Range Rover,59 500 $,2017,3.0 L,116 000 km,Bakı
Mercedes C 200,7 700 AZN,1996,2.0 L,325 148 km,Bakı
LADA (VAZ) 2107,2 500 AZN,1986,1.6 L,99 000 km,Bakı
Honda Civic,26 500 AZN,2016,1.5 L,191 000 km,Bakı
Kia Sportage,35 000 AZN,2016,1.7 L,75 000 km,Bakı
Mercedes C 300,42 200 AZN,2017,2.0 L,122 000 km,Bakı
BMW 523,9 200 AZN,1999,2.5 L,399 000 km,Bakı
Hyundai Grandeur,25 900 $,2018,3.0 L,116 000 km,Bakı
Toyota Corolla Cross,24 999 $,2024,2.0 L,0 km,Bakı
Mercedes E 200,40 900 AZN,2014,2.0 L,160 000 km,Bakı
Toyota RAV4,41 500 $,2023,2.5 L,15 540 km,Bakı
BMW 328,28 900 AZN,2012,2.0 L,135 000 km,Bakı
Chevrolet Camaro,49 500 $,2021,3.6 L,4 000 km,Bakı
Hyundai Sonata,38 900 $,2023,2.0 L,0 km,Bakı
Ford Explorer,29 600 AZN,2014,3.5 L,194 250 km,Bakı
Porsche Panamera,108 500 $,2022,3.0 L,14 000 km,Bakı
Nissan Kicks,29 700 AZN,2018,1.6 L,23 200 km,Bakı
BMW X7,99 500 $,2021,3.0 L,58 000 km,Bakı
Opel Vectra,5 600 AZN,1994,1.7 L,600 000 km,Qəbələ
BMW X5,127 500 $,2023,3.0 L,0 km,Bakı
Mercedes E 320,10 000 AZN,1999,3.2 L,333 939 km,Bakı
Ford Fusion (North America),20 700 AZN,2014,2.0 L,129 000 km,Bakı
Suzuki S-Cross,42 000 AZN,2023,1.4 L,0 km,Bakı
Kia K7,37 900 AZN,2016,2.2 L,178 000 km,Bakı
Toyota Prius,22 800 AZN,2014,1.8 L,99 700 km,Bakı
Lexus ES 300h,37 900 $,2021,2.5 L,68 000 km,Bakı
LADA (VAZ) 2107,4 400 AZN,1980,1.6 L,87 000 km,Ağsu
Hyundai Santa Fe,31 900 AZN,2017,2.0 L,79 000 km,Bakı
Toyota RAV4,40 300 AZN,2017,2.0 L,101 000 km,Bakı
Ford Transit,34 500 AZN,2008,2.4 L,240 000 km,Bakı
Ford Fusion (North America),17 900 AZN,2014,1.5 L,175 000 km,Gəncə
ZEEKR 009,77 500 $,2024,0.0 L,0 km,Bakı
Toyota Highlander,61 540 $,2023,2.5 L,0 km,Bakı
Toyota Camry,32 700 $,2022,2.5 L,23 000 km,Bakı
Lexus LX 570,52 777 $,2014,5.7 L,96 200 km,Bakı
Infiniti QX50,26 500 $,2018,2.0 L,91 000 km,Bakı
BMW 320,14 800 AZN,2002,2.2 L,283 000 km,Bakı
Hyundai Santa Fe,34 000 AZN,2015,2.0 L,162 300 km,Bakı
BMW 528,27 000 AZN,2012,2.0 L,275 198 km,Bakı
Kia Sorento,49 500 AZN,2018,2.0 L,103 000 km,Bakı
Ford Transit,24 500 AZN,2008,2.2 L,270 000 km,Xırdalan
Opel Astra,10 900 AZN,2005,1.4 L,223 000 km,Bakı
Hyundai Santa Fe,28 000 AZN,2013,2.4 L,196 500 km,Bakı
Hyundai Santa Fe,31 500 AZN,2014,2.0 L,233 000 km,Bakı
Hyundai Elantra,20 700 AZN,2015,1.8 L,92 000 km,Bakı
Hyundai Accent,18 800 AZN,2016,1.6 L,103 341 km,Bakı
BMW X7,75 500 $,2019,3.0 L,63 400 km,Bakı
Mercedes GL 450,31 900 $,2015,3.0 L,135 000 km,Bakı
Toyota Prius,37 900 AZN,2022,1.8 L,9 300 km,Bakı
Ford Mustang,22 500 $,2015,2.3 L,114 000 km,Bakı
Mercedes GLE 43 AMG 4MATIC Coupe,62 000 $,2018,3.0 L,75 500 km,Bakı
Lexus UX 250h,27 900 $,2020,2.0 L,18 000 km,Bakı
Infiniti QX56,25 500 $,2011,5.6 L,171 240 km,Bakı
Honda CR-V,29 900 AZN,2014,2.4 L,125 000 km,Bakı
Haima 8S,32 900 AZN,2022,1.6 L,42 000 km,Bakı
Mazda 3,25 900 AZN,2015,1.5 L,44 000 km,Bakı
Hyundai Elantra,21 500 AZN,2015,1.8 L,134 000 km,Bakı
Kia Sorento,52 900 $,2023,1.6 L,0 km,Bakı
LADA (VAZ) 2106,3 300 AZN,1989,1.6 L,345 000 km,Bakı
Hyundai Elantra,24 500 AZN,2018,2.0 L,74 030 km,Tovuz
Kia Carnival,47 900 $,2021,2.2 L,4 000 km,Bakı
Hyundai Elantra,20 700 AZN,2013,1.8 L,58 000 km,Bakı
Mercedes S 350,31 900 AZN,2010,3.5 L,119 000 km,Bakı
Kia Sorento,53 900 AZN,2019,2.0 L,100 000 km,Bakı
Kia Sorento,40 900 $,2021,1.6 L,21 000 km,Bakı
LADA (VAZ) Kalina,8 800 AZN,2012,1.4 L,215 000 km,Sumqayıt
Avatr 12,52 500 $,2024,0.0 L,0 km,Bakı
LADA (VAZ) Granta,18 700 AZN,2023,1.6 L,0 km,Bakı
BMW 520,21 900 $,2012,2.0 L,189 000 km,Bakı
Nissan X-Trail,36 900 $,2023,2.5 L,0 km,Bakı
Skoda Kodiaq,76 900 AZN,2023,2.0 L,0 km,Bakı
Toyota Camry,32 500 $,2023,2.5 L,9 500 km,Bakı
Lexus LX 450d,116 000 $,2020,4.5 L,30 000 km,Bakı
Volkswagen Passat,23 000 $,2021,1.4 L,48 000 km,Bakı
Kia Sorento,34 400 AZN,2015,2.0 L,169 000 km,Bakı
Ford Fusion (North America),18 000 $,2018,2.0 L,114 000 km,Bakı
Kia Niro,25 500 AZN,2018,1.6 L,190 000 km,Bakı
BMW X5,55 555 $,2017,4.4 L,72 000 km,Bakı
Volkswagen Jetta,5 800 AZN,1999,2.0 L,185 000 km,Bakı
BMW 530,33 900 $,2018,2.0 L,41 000 km,Bakı
ROX (Polar Stone) 01,52 500 $,2024,1.5 L,0 km,Bakı
Mercedes C 220 d,12 000 AZN,2003,2.2 L,450 000 km,Bakı
Opel Astra,8 800 AZN,1998,1.6 L,400 000 km,Sumqayıt
BMW 318,3 800 AZN,1992,1.8 L,73 894 km,Gəncə
Mercedes E 200,27 800 AZN,2012,1.8 L,237 000 km,Bakı
Honda Accord,38 800 AZN,2022,2.0 L,28 800 km,Bakı
Kia Sorento,35 700 $,2021,1.6 L,38 500 km,Bakı
Kia Sorento,36 000 AZN,2016,2.0 L,118 396 km,Bakı
Hyundai Accent,27 400 AZN,2022,1.4 L,11 289 km,Bakı
Kia Sportage,17 000 AZN,2006,2.0 L,252 000 km,Lənkəran
Mercedes S 500 4MATIC,185 923 €,2023,3.0 L,0 km,Bakı
Opel Astra,4 500 AZN,1995,1.6 L,111 111 km,Bakı
Hyundai Accent,19 800 AZN,2014,1.6 L,168 000 km,Bakı
Toyota Prius,8 900 AZN,2008,1.5 L,250 000 km,Bakı
Toyota Land Cruiser,42 500 $,2013,4.0 L,138 000 km,Bakı
Hyundai Santa Fe,37 700 AZN,2016,2.0 L,108 000 km,Bakı
Toyota RAV4,39 700 $,2021,2.5 L,35 000 km,Bakı
Hyundai Grandeur,29 900 AZN,2014,2.2 L,163 000 km,Sumqayıt
BMW X5,88 000 $,2021,3.0 L,49 000 km,Bakı
Chevrolet Cruze,18 800 AZN,2017,1.4 L,105 000 km,Gəncə
Mercedes C 43 AMG,82 610 €,2023,2.0 L,0 km,Bakı
Land Rover Range Rover,32 900 $,2012,5.0 L,198 000 km,Xırdalan
Toyota Land Cruiser Prado,38 500 AZN,2010,2.7 L,202 200 km,Bakı
Volvo XC90,43 900 $,2018,2.0 L,69 800 km,Bakı
Kia Sorento,35 900 AZN,2014,2.0 L,180 600 km,Bakı
Lexus LX 570,53 500 $,2014,5.7 L,146 000 km,Bakı
Changan CS 35 Plus,33 900 AZN,2023,1.4 L,0 km,Bakı
BMW 528,40 900 AZN,2016,2.0 L,123 000 km,Gəncə
Mercedes E 220 d,17 500 AZN,2001,2.2 L,174 263 km,İmişli
BMW 535,12 700 AZN,1998,3.5 L,255 535 km,Bakı
Kia Sportage,29 300 AZN,2015,2.0 L,142 000 km,Bakı
Kia Sorento,36 500 AZN,2016,2.0 L,169 000 km,Bakı
Li Auto L7,56 500 $,2024,1.5 L,0 km,Bakı
Hyundai Sonata,21 700 AZN,2011,2.4 L,170 000 km,Bakı
Mercedes E 300 4MATIC,31 000 $,2017,2.0 L,145 000 km,Bakı
Toyota Land Cruiser Prado,38 500 AZN,2010,2.7 L,202 200 km,Bakı
Hyundai Sonata,17 800 AZN,2008,2.4 L,228 678 km,Bakı
Fiat Fiorino,19 999 AZN,2020,1.4 L,80 000 km,Bakı
Toyota Land Cruiser Prado,43 500 AZN,2012,2.7 L,189 000 km,Bakı
Kia Carnival,34 500 AZN,2015,2.2 L,168 000 km,Bakı
Kia Sorento,37 500 AZN,2015,2.0 L,137 900 km,Lənkəran
Kia Sorento,29 000 AZN,2011,2.0 L,185 000 km,Bakı
Toyota Camry,29 000 AZN,2013,2.5 L,176 000 km,Bakı
Land Rover Range Rover,65 500 $,2015,3.0 L,154 000 km,Bakı
LADA (VAZ) Niva Bronto,25 500 AZN,2023,1.7 L,0 km,Bakı
ZEEKR X,34 900 $,2024,0.0 L,0 km,Bakı
Hyundai Azera,24 900 AZN,2014,2.4 L,161 500 km,Bakı
LADA (VAZ) Largus,25 500 AZN,2022,1.6 L,0 km,Bakı
Mercedes E 400,24 500 $,2013,3.0 L,194 000 km,Bakı
LADA (VAZ) Granta,10 000 AZN,2013,1.6 L,299 337 km,Bakı
BMW 528,27 000 AZN,2013,2.0 L,199 559 km,Gəncə
Hyundai Grandeur,24 900 AZN,2014,2.4 L,161 500 km,Bakı
Kia Sorento,33 000 AZN,2016,2.0 L,79 850 km,Bakı
BMW 530e,51 000 $,2022,2.0 L,33 000 km,Bakı
Hyundai ix35,31 800 AZN,2014,2.0 L,41 900 km,Bakı
Hyundai Sonata,20 800 AZN,2011,2.4 L,119 000 km,Bakı
Porsche Taycan,99 500 €,2023,0.0 L,0 km,Bakı
Kia Rio X-Line,32 700 AZN,2022,1.4 L,8 900 km,Bakı
Toyota Land Cruiser Prado,32 000 AZN,2008,2.7 L,202 200 km,Bakı
Toyota Yaris Cross,44 700 AZN,2023,1.5 L,0 km,Bakı
Li Auto L9,71 900 $,2024,1.5 L,0 km,Bakı
Toyota Highlander,60 500 $,2023,2.5 L,0 km,Bakı
KTM 390 Duke,9 999 AZN,2023,0.4 L,0 km,Bakı
Hyundai Accent,23 300 AZN,2017,1.6 L,166 300 km,Bakı
Kia K5,28 500 AZN,2015,1.7 L,163 000 km,Bakı
Hyundai Elantra,26 700 AZN,2020,2.0 L,28 000 km,Bakı
BMW 320,29 500 AZN,2016,2.0 L,147 000 km,Bakı
Toyota Prius,11 000 AZN,2007,1.5 L,270 000 km,Bakı
Kia Cerato,28 900 AZN,2021,2.0 L,32 000 km,Bakı
BMW 116,12 800 AZN,2005,1.6 L,520 000 km,Sumqayıt
BMW 528,29 500 AZN,2013,2.0 L,210 000 km,Bakı
LADA (VAZ) 2107,5 800 AZN,2003,1.6 L,99 164 km,Ağdaş
Land Rover Defender,89 500 $,2022,3.0 L,22 000 km,Bakı
Kia Sorento,37 700 AZN,2015,2.2 L,135 000 km,Bakı
Land Rover Range Rover,53 500 $,2016,3.0 L,149 000 km,Bakı
Mercedes E 240,17 400 AZN,2000,2.4 L,324 986 km,Bakı
Nissan Sentra,17 700 AZN,2015,1.8 L,86 400 km,Bakı
Hyundai Elantra,39 400 AZN,2022,1.6 L,20 800 km,Bakı
Mercedes Vito 115,22 300 AZN,2008,2.2 L,262 000 km,Bakı
Hyundai Accent,18 200 AZN,2014,1.4 L,142 000 km,Bakı
LADA (VAZ) Niva,16 800 AZN,2020,1.7 L,22 000 km,Gəncə
Kia Cerato,22 800 AZN,2017,2.0 L,162 500 km,Bakı
BMW 730,46 500 AZN,2012,3.0 L,210 000 km,Bakı
Volkswagen ID.6,33 700 $,2023,0.0 L,0 km,Bakı
BMW 525,9 500 AZN,1999,2.5 L,327 000 km,Bakı
BMW 530,31 500 $,2018,2.0 L,93 000 km,Bakı
BMW 640,33 500 $,2017,3.0 L,107 000 km,Bakı
Mercedes E 220 d,20 400 $,2015,2.2 L,158 500 km,Bakı
Kia Sorento,44 000 AZN,2019,2.0 L,105 000 km,Bakı
Toyota Land Cruiser Prado,29 999 $,2012,2.7 L,167 000 km,Bakı
Suzuki Vitara,39 000 AZN,2023,1.4 L,0 km,Bakı
Kia Carens,20 700 AZN,2014,1.7 L,158 200 km,Bakı
Kia Sorento,40 800 AZN,2018,2.0 L,125 000 km,Bakı
Mitsubishi Pajero,26 000 AZN,2007,3.0 L,160 000 km,Şəki
Hyundai ix35,22 500 AZN,2011,2.0 L,222 458 km,Sumqayıt
Mercedes GL 500 4MATIC,34 777 $,2013,4.7 L,161 000 km,Bakı
Volkswagen ID.6,32 900 $,2023,0.0 L,0 km,Bakı
Peugeot e-2008,41 900 AZN,2022,0.0 L,0 km,Bakı
Land Rover Range Rover,33 500 $,2011,5.0 L,125 000 km,Bakı
Toyota Highlander,37 500 $,2020,2.5 L,51 700 km,Bakı
Mercedes 190,3 000 AZN,1990,2.0 L,593 798 km,Bakı
Hyundai Santa Fe,25 300 AZN,2012,2.4 L,210 000 km,Bakı
Toyota Land Cruiser Prado,28 000 $,2013,2.7 L,93 000 km,Bakı
Kia Rio,10 200 AZN,2006,1.4 L,340 000 km,Bakı
Mercedes E 220 d,11 500 AZN,1996,2.2 L,395 000 km,Xudat
Opel Astra,12 000 AZN,2008,1.3 L,254 500 km,Bakı
Mercedes CLA 250,22 500 $,2016,2.0 L,114 000 km,Bakı
Suzuki S-Cross,42 000 AZN,2023,1.4 L,0 km,Bakı
Chery Tiggo 8 Pro,45 000 AZN,2022,1.6 L,3 500 km,Bakı
BMW X5,41 000 $,2017,3.0 L,141 000 km,Bakı
Hyundai Accent,16 500 AZN,2012,1.4 L,243 211 km,Sumqayıt
Mercedes GLS 580 4MATIC,151 453 €,2023,4.0 L,0 km,Bakı
Land Rover Range Rover,43 900 $,2015,3.0 L,146 000 km,Bakı
BMW X6,51 000 $,2018,3.0 L,65 000 km,Bakı
Mercedes E 400,38 900 AZN,2014,3.0 L,201 000 km,Bakı
Kia Cerato Koup,18 500 AZN,2014,2.0 L,203 445 km,Sumqayıt
Mercedes E 250,51 700 $,2020,2.0 L,26 000 km,Bakı
FAW Tiger VR,32 500 AZN,2023,2.3 L,0 km,Bakı
Kia Magentis,13 800 AZN,2007,2.0 L,256 171 km,Sumqayıt
Ford Transit,26 900 AZN,2008,2.4 L,175 522 km,Bakı
Mercedes C 220 d,12 500 AZN,1998,2.2 L,287 433 km,Sumqayıt
FAW Tiger VN,35 500 AZN,2023,2.3 L,0 km,Bakı
Mercedes E 220,8 200 AZN,1993,2.2 L,203 000 km,Bakı
Toyota RAV4,5 900 AZN,1995,2.0 L,416 000 km,Bakı
Hyundai Santa Fe,32 700 AZN,2016,2.0 L,94 000 km,Bakı
Maserati Grecale,87 900 €,2024,2.0 L,0 km,Bakı
Ford Fusion (North America),27 000 AZN,2016,2.0 L,167 000 km,Gəncə
Maserati Grecale,72 400 €,2024,2.0 L,0 km,Bakı
Kia Sportage,26 500 AZN,2012,2.0 L,130 000 km,Bakı
Khazar LX,16 500 AZN,2023,1.7 L,0 km,Bakı
Hyundai Santa Fe,33 500 AZN,2017,2.0 L,111 000 km,Bakı
Chery Tiggo 7 Pro,39 900 AZN,2023,1.5 L,0 km,Bakı
Toyota Highlander,60 500 $,2023,2.5 L,0 km,Bakı
Land Rover RR Sport,65 777 $,2018,3.0 L,45 200 km,Bakı
Li Auto L7,50 500 $,2024,1.5 L,0 km,Bakı
Toyota Camry,37 400 AZN,2014,2.5 L,135 000 km,Bakı
Kia Sorento,40 900 AZN,2016,2.0 L,177 300 km,Bakı
Opel Astra,11 300 AZN,2005,1.4 L,300 000 km,Bakı
Land Rover Range Rover,89 000 $,2018,3.0 L,117 795 km,Bakı
Mercedes S 600,26 000 AZN,2006,6.0 L,204 000 km,Bakı
Mercedes E 220 d,17 500 AZN,2000,2.2 L,345 000 km,Bərdə
Hyundai Sonata,28 000 AZN,2014,2.4 L,151 000 km,Bakı
Mercedes E 220 d,39 000 AZN,2014,2.2 L,200 000 km,Bakı
Hyundai Santa Fe,33 500 AZN,2017,2.0 L,111 000 km,Bakı
Maserati Grecale,78 200 €,2024,2.0 L,0 km,Bakı
Khazar SD,18 500 AZN,2023,1.7 L,0 km,Bakı
Opel Astra,12 300 AZN,2006,1.4 L,220 000 km,Salyan
Khazar SD,18 500 AZN,2023,1.7 L,0 km,Bakı
Land Rover RR Sport,99 500 €,2022,2.0 L,44 000 km,Bakı
Hyundai Avante,24 600 AZN,2015,1.6 L,137 500 km,Bakı
Khazar SD,18 500 AZN,2023,1.7 L,0 km,Bakı
Kia Sportage,17 800 AZN,2008,2.0 L,201 000 km,Bakı
Volkswagen Passat CC,12 800 AZN,2009,2.0 L,220 000 km,Bakı
Hyundai i30,22 400 AZN,2015,1.6 L,113 600 km,Bakı
Mercedes E 220,16 200 AZN,2000,2.2 L,600 000 km,Bakı
Hyundai Sonata,31 000 AZN,2018,2.0 L,89 400 km,Gəncə
Kia Sorento,62 500 AZN,2021,2.2 L,90 000 km,Bakı
Hyundai Avante,24 800 AZN,2016,1.6 L,146 000 km,Bakı
Opel Astra,15 000 AZN,2010,1.3 L,124 426 km,Gəncə
Hyundai Sonata,16 500 AZN,2008,2.4 L,220 000 km,Bakı
Mercedes E 220 d,22 800 AZN,2007,2.2 L,236 000 km,Bakı
Toyota RAV4,20 200 AZN,2008,2.4 L,355 000 km,Xaçmaz
Toyota Land Cruiser Prado,26 000 $,2012,2.7 L,151 000 km,Bakı
Hyundai Elantra,22 800 AZN,2015,1.8 L,90 300 km,Bakı
Kia Sorento,24 800 AZN,2009,2.0 L,140 000 km,Bakı
Chevrolet Cruze,12 300 AZN,2013,1.4 L,222 550 km,Gəncə
Opel Astra,7 700 AZN,1999,2.0 L,234 009 km,Bakı
Chevrolet Aveo,10 500 AZN,2006,1.4 L,197 000 km,Bakı
Chevrolet Cruze,16 900 AZN,2017,1.4 L,119 500 km,Sumqayıt
Mercedes GLE 53 AMG 4MATIC Coupe,110 858 €,2023,3.0 L,0 km,Bakı
Mercedes C 240,8 900 AZN,2000,2.4 L,300 000 km,Sumqayıt
Mercedes C 240,12 200 AZN,1998,2.4 L,242 237 km,Sumqayıt
Toyota Land Cruiser Prado,27 900 AZN,2007,2.7 L,173 000 km,Bakı
Nissan March,13 600 AZN,2014,1.2 L,25 000 km,Bakı
Hyundai Accent,21 900 AZN,2017,1.4 L,45 500 km,Bakı
Mitsubishi Pajero,17 499 AZN,2006,3.0 L,170 000 km,Bakı
Hyundai Sonata,10 800 AZN,2006,2.4 L,308 880 km,Bakı
Toyota C-HR,28 500 $,2022,2.0 L,19 000 km,Bakı
BMW M8,140 000 $,2020,4.4 L,23 000 km,Bakı
Hyundai Elantra,22 000 AZN,2014,2.0 L,132 800 km,Bakı
Mercedes CLA 250,37 000 $,2019,2.0 L,36 500 km,Bakı
Kia Optima,25 700 AZN,2015,2.0 L,116 000 km,Bakı
Land Rover Range Rover,52 000 $,2014,3.0 L,131 000 km,Bakı
BMW X5,24 800 AZN,2007,4.8 L,210 000 km,Bakı
Honda Accord,44 500 AZN,2022,2.0 L,13 000 km,Bakı
Toyota Land Cruiser Prado,24 000 $,2008,4.0 L,142 000 km,Bakı
Mercedes C 200,11 900 AZN,1998,2.0 L,323 000 km,Sumqayıt
Ford Transit,19 200 AZN,2010,2.2 L,185 200 km,Bakı
Kia Carnival,87 900 AZN,2023,2.2 L,0 km,Bakı
Kia Morning,14 600 AZN,2015,1.0 L,93 000 km,Bakı
Toyota Land Cruiser Prado,25 500 $,2011,2.7 L,151 000 km,Bakı
Kia Sorento,40 700 AZN,2015,2.0 L,139 500 km,Bakı
Kia Sorento,38 700 AZN,2016,2.0 L,157 000 km,Bakı
Kia EV9,125 000 AZN,2024,0.0 L,0 km,Bakı
Kia Rio,22 500 AZN,2019,1.6 L,97 000 km,Bakı
Kia EV6,94 900 AZN,2023,0.0 L,0 km,Bakı
Kia Sorento,43 900 AZN,2018,2.0 L,133 500 km,Bakı
Mercedes E 240,15 500 AZN,2000,2.4 L,237 720 km,Bakı
Land Rover Range Rover,229 999 $,2024,3.0 L,0 km,Bakı
Mercedes Viano,37 900 AZN,2012,2.2 L,295 000 km,Şirvan
Kia Sportage,63 900 AZN,2023,2.0 L,0 km,Bakı
Hyundai Tucson,14 900 AZN,2006,2.0 L,152 300 km,Bakı
Audi A4,23 500 AZN,2012,1.8 L,143 500 km,Bakı
Changan CS 35 Plus,33 900 AZN,2023,1.4 L,0 km,Bakı
Land Rover Range Rover,32 900 $,2012,5.0 L,198 000 km,Xırdalan
Dayun Yuehu,28 800 AZN,2023,0.0 L,0 km,Bakı
Mitsubishi L200,28 900 $,2021,2.4 L,67 000 km,Bakı
Toyota RAV4,41 500 $,2023,2.5 L,15 540 km,Bakı
Volkswagen Multivan,51 000 AZN,2018,2.0 L,100 000 km,Bakı
Kia K5,25 900 AZN,2014,2.0 L,79 960 km,Bakı
Hyundai Santa Fe,11 111 $,2009,2.2 L,400 000 km,Bakı
Toyota Prius,22 500 AZN,2015,1.8 L,175 000 km,Bakı
Toyota Corolla Cross,25 200 $,2024,2.0 L,1 km,Bakı
Kia Sportage,29 000 AZN,2014,2.0 L,133 000 km,Bakı
Porsche Macan,63 500 $,2022,2.0 L,9 100 km,Bakı
Audi A4,23 500 AZN,2012,1.8 L,143 500 km,Bakı
Kia Stonic,37 300 AZN,2023,1.4 L,0 km,Bakı
BMW X5,88 000 $,2022,3.0 L,11 000 km,Bakı
Opel Vectra,13 600 AZN,2007,2.2 L,240 000 km,Bakı
Toyota Land Cruiser Prado,28 500 AZN,2008,2.7 L,201 245 km,Sumqayıt
LADA (VAZ) Niva,19 000 AZN,2023,1.7 L,0 km,Bakı
Kia Sorento,30 000 AZN,2014,2.0 L,133 800 km,Bakı
Toyota Prius,21 700 AZN,2014,1.8 L,113 000 km,Sumqayıt
Mercedes Sprinter 315,25 900 AZN,2008,2.2 L,203 000 km,Bakı
Kia Sportage,60 900 AZN,2023,1.6 L,0 km,Bakı
Nissan Note,15 800 AZN,2016,1.2 L,52 000 km,Bakı
Kia Sorento,37 300 AZN,2015,2.2 L,206 500 km,Bakı
Chevrolet Cruze,16 500 AZN,2015,1.4 L,212 842 km,Sumqayıt
Ford Fusion (North America),19 800 AZN,2015,1.5 L,85 300 km,Bakı
Audi A7,29 500 $,2016,3.0 L,85 000 km,Bakı
Nissan X-Trail,10 200 AZN,2001,2.0 L,300 000 km,Bakı
Hyundai ix35,24 000 AZN,2012,2.0 L,199 000 km,Sumqayıt
Hyundai Elantra,23 200 AZN,2017,2.0 L,129 000 km,Bakı
Chevrolet Orlando,20 000 AZN,2014,1.8 L,412 587 km,Sumqayıt
Ford Transit,22 800 AZN,2011,2.2 L,197 000 km,Bakı
