Name,Price,Year,Engine,Distance,City
Mercedes Actros 1846,69 500 AZN,2007,12 L,2 000 000 km,Bakı
Mercedes CL 500,25 000 $,2007,5.5 L,118 000 km,Bakı
Hyundai Accent,23 300 AZN,2017,1.6 L,166 300 km,Bakı
Ford Transit,15 800 AZN,1999,2.5 L,333 333 km,Bakı
Toyota Yaris iA,23 500 AZN,2018,1.5 L,79 000 km,Bakı
Porsche Cayenne,31 500 $,2014,3.6 L,149 000 km,Bakı
UAZ 31512,9 000 AZN,2005,2.4 L,140 000 km,Yardımlı
Hyundai Grandeur,33 800 AZN,2015,3.0 L,202 000 km,Bakı
Mercedes E 220,7 300 AZN,1993,2.2 L,315 000 km,Bakı
Kia Rio,9 400 AZN,2006,1.4 L,191 204 km,Şəki
Mini Cooper,20 000 $,2016,1.6 L,49 000 km,Bakı
Land Rover RR Evoque,53 000 $,2021,2.0 L,26 000 km,Bakı
Toyota Corolla Fielder,23 700 AZN,2018,1.5 L,46 000 km,Bakı
Hyundai Sonata,18 500 AZN,2008,2.0 L,276 735 km,Bakı
Opel Astra,10 800 AZN,2005,1.4 L,280 000 km,Bakı
Kia Ceed,12 900 AZN,2008,1.6 L,331 578 km,Sumqayıt
Honda Insight,14 900 AZN,2012,1.3 L,220 000 km,Bakı
Opel Astra,10 200 AZN,2007,1.3 L,186 000 km,Salyan
Kia Morning,15 700 AZN,2014,1.0 L,165 000 km,Bakı
Kia Sorento,36 000 AZN,2016,2.2 L,220 000 km,Bakı
Opel Astra,9 000 AZN,2007,1.7 L,465 000 km,Bakı
Kia Rio,13 800 AZN,2011,1.4 L,188 300 km,Bakı
Ford Transit,31 000 AZN,2011,2.4 L,136 400 km,Bakı
Geely Monjaro,74 900 AZN,2024,2.0 L,0 km,Bakı
LADA (VAZ) 2107,8 400 AZN,2010,1.6 L,75 317 km,Bakı
Toyota Corolla,24 900 AZN,2015,1.6 L,174 000 km,Bakı
Volkswagen Golf,3 300 AZN,1998,1.8 L,320 000 km,Bakı
Land Rover Range Rover,47 900 $,2014,3.0 L,164 000 km,Bakı
Kia Sportage,30 000 AZN,2013,2.0 L,135 000 km,Bakı
Kia Sorento,40 000 AZN,2015,2.2 L,180 000 km,Beyləqan
Porsche Panamera GTS,37 900 $,2014,4.8 L,167 000 km,Bakı
Nissan Note,15 800 AZN,2015,1.2 L,42 000 km,Bakı
Jeep Wrangler,52 900 $,2020,2.0 L,59 600 km,Bakı
Ford F-150,71 500 $,2021,2.7 L,47 000 km,Bakı
Toyota Prius,10 800 AZN,2006,1.5 L,230 000 km,Bakı
BMW X6,23 700 $,2010,3.0 L,168 000 km,Bakı
Opel Astra,12 000 AZN,2008,1.3 L,254 500 km,Bakı
Toyota Prius,21 500 AZN,2013,1.8 L,193 000 km,Bakı
Land Rover Range Rover,75 500 $,2019,3.0 L,109 513 km,Bakı
LADA (VAZ) Niva,8 800 AZN,2012,1.7 L,141 000 km,Bakı
Honda Insight,14 900 AZN,2012,1.3 L,220 000 km,Bakı
Mercedes CL 550,37 500 $,2008,5.5 L,36 000 km,Bakı
Honda Accord,25 900 AZN,2014,2.0 L,178 000 km,Bakı
Nissan X-Trail,15 500 AZN,2004,2.5 L,330 000 km,Bakı
Kia Cerato,25 800 AZN,2019,2.0 L,63 000 km,Bakı
LADA (VAZ) Priora,9 200 AZN,2013,1.6 L,320 000 km,Şəki
Opel Astra,12 500 AZN,2009,1.4 L,227 000 km,Gəncə
Toyota Prius,10 600 AZN,2007,1.5 L,252 000 km,Bakı
Hyundai Elantra,21 300 AZN,2014,1.6 L,125 478 km,Bakı
Toyota Land Cruiser,76 500 $,2022,3.3 L,35 000 km,Bakı
Lexus GX 460,29 900 $,2010,4.6 L,235 000 km,Bakı
Mercedes S 320,21 800 $,2009,3.0 L,181 000 km,Bakı
Kia Sorento,36 800 AZN,2015,2.0 L,121 000 km,Bakı
Ford Transit,17 999 AZN,2010,2.2 L,335 000 km,Bakı
Land Rover Range Rover,53 500 $,2016,3.0 L,163 000 km,Bakı
Kia Niro,38 000 AZN,2022,1.6 L,20 000 km,Bakı
KamAz 65115,18 200 AZN,1990,11 L,36 000 km,Bakı
LADA (VAZ) Priora,9 400 AZN,2013,1.6 L,223 000 km,Sumqayıt
Land Rover RR Sport,37 500 AZN,2011,3.0 L,211 000 km,Bakı
Nissan Note,17 800 AZN,2018,1.2 L,117 000 km,Sumqayıt
Land Rover Range Rover,98 000 $,2019,3.0 L,82 000 km,Bakı
Mitsubishi Pajero,19 500 AZN,2007,3.0 L,295 000 km,Bakı
Ford Transit,24 350 AZN,2010,2.2 L,267 000 km,Bakı
Kia Optima,31 900 AZN,2019,1.6 L,64 374 km,Bakı
Opel Astra,12 999 AZN,2006,1.4 L,194 476 km,Zaqatala
Chevrolet Cruze,13 200 AZN,2015,1.4 L,167 000 km,Lənkəran
ZEEKR 001,45 900 $,2024,0.0 L,0 km,Bakı
VGV U75 Plus,38 000 AZN,2024,2.0 L,0 km,Bakı
Rolls-Royce Wraith,235 000 $,2016,6.6 L,16 000 km,Bakı
Toyota Avalon,43 777 AZN,2017,3.5 L,283 800 km,Bakı
Chevrolet Cruze,11 800 AZN,2012,1.4 L,347 000 km,Bakı
Toyota Corolla,18 700 AZN,2008,1.4 L,210 000 km,Bakı
Land Rover RR Sport,49 500 $,2018,3.0 L,65 000 km,Bakı
Mercedes S 430,10 600 AZN,2002,4.3 L,324 123 km,Sumqayıt
Mercedes C 250,24 500 AZN,2013,1.8 L,220 000 km,İsmayıllı
Hyundai Santa Fe,32 800 AZN,2014,2.0 L,167 330 km,Bakı
